Absorptive wall materials,125 Hz,250 Hz,500 Hz,1 kHz,2 kHz,4 kHz
"Drapery (10 oz/yd2, 340 g/m2, flat against wall)",0.04,0.05,0.11,0.18,0.3,0.35
"Drapery (14 oz/yd2, 476 g/m2, flat against wall)",0.05,0.07,0.13,0.22,0.32,0.35
"Drapery (18 oz/yd2, 612 g/m2, flat against wall)",0.05,0.12,0.35,0.48,0.38,0.36
"Drapery (14 oz/yd2, 476 g/m2, pleated 50%)",0.07,0.31,0.49,0.75,0.7,0.6
"Drapery (18 oz/yd2, 612 g/m2, pleated 50%)",0.14,0.35,0.53,0.75,0.7,0.6
Fiberglass board (25mm(1″) thick),0.06,0.2,0.65,0.9,0.95,0.98
Fiberglass board (50mm(2″) thick),0.18,0.76,0.99,0.99,0.99,0.99
Fiberglass board (75mm(3″) thick),0.53,0.99,0.99,0.99,0.99,0.99
Fiberglass board (100mm(4″) thick),0.99,0.99,0.99,0.99,0.99,0.97
Open brick pattern over 75mm(3″) fiberglass,0.4,0.65,0.85,0.75,0.65,0.6
Pageboard over 25mm(1″) fiberglass board,0.08,0.32,0.99,0.76,0.34,0.12
Pageboard over 50mm(2″) fiberglass board,0.26,0.97,0.99,0.66,0.34,0.14
Pageboard over 75mm(3″) fiberglass board,0.49,0.99,0.99,0.69,0.37,0.15
"Performated metal (13% open, over 50mm(2″) fiberglass)",0.25,0.64,0.99,0.97,0.88,0.92
