Ceiling Material,125 Hz,250 Hz,500 Hz,1 kHz,2 kHz,4 kHz
Plasterboard (12mm(1/2″) in suspended ceiling grid),0.15,0.11,0.04,0.04,0.07,0.08
Underlay in perforated metal panels (25mm(1″) batts),0.51,0.78,0.57,0.77,0.9,0.79
"Metal deck (perforated channels,25mm(1″) batts)",0.19,0.69,0.99,0.88,0.52,0.27
"Metal deck (perforated channels, 75mm(3″) batts)",0.73,0.99,0.99,0.89,0.52,0.31
"Plaster (gypsum or lime, on masonary)",0.01,0.02,0.02,0.03,0.04,0.05
"Plaster (gypsum or lime, rough finish or timber lath)",0.14,0.1,0.06,0.05,0.04,0.04
Sprayed cellulose fiber (16mm(5/8″) on solid backing),0.05,0.16,0.44,0.79,0.9,0.91
Sprayed cellulose fiber (25mm(1″) on solid backing),0.08,0.29,0.75,0.98,0.93,0.76
Sprayed cellulose fiber (25mm(1″) on timber lath),0.47,0.9,1.1,1.03,1.05,1.03
Sprayed cellulose fiber (32mm(1-1/4″) on solid backing),0.1,0.3,0.73,0.92,0.98,0.98
Sprayed cellulose fiber (75mm(3″) on solid backing),0.7,0.95,1,0.85,0.85,0.9
Wood tongue-and-groove roof decking,0.24,0.19,0.14,0.08,0.13,0.1
